Date,Close,High,Low,Open,Volume
2011-02-11,10.692300796508789,10.720765108383508,10.5931229601288,10.629378633287418,367572800
2011-02-14,10.762115478515625,10.771103788536212,10.688107138779621,10.69050423481146,310416400
2011-02-15,10.783686637878418,10.785784496585118,10.713273954627834,10.76241281440305,284174800
2011-02-16,10.88046932220459,10.933503067896009,10.801665995902024,10.81065430528434,481157600
2011-02-17,10.735747337341309,10.794774622111646,10.682412755127949,10.704286654664868,530583200
2011-02-18,10.503832817077637,10.771701847738836,10.472670574492794,10.748030928901603,816057200
2011-02-22,10.145772933959961,10.349221994367046,10.119106449241118,10.251841999313772,872555600
2011-02-23,10.2659273147583,10.326451581680182,10.145774891468335,10.150569883029856,671854400
2011-02-24,10.273712158203125,10.341728516877211,10.138579551471448,10.307870756025414,499900800
2011-02-25,10.43192195892334,10.440011756785443,10.331246340765828,10.345028840812569,380018800
2011-02-28,10.583232879638672,10.638364468856908,10.520609967896265,10.52420561068422,403074000
2011-03-01,10.466376304626465,10.658439145611599,10.417536692966285,10.650948623604414,456136800
2011-03-02,10.55057430267334,10.61739214015287,10.439111761276767,10.485854323823364,602590800
2011-03-03,10.773499488830566,10.780390738468135,10.664434041907855,10.702487533607895,500788400
2011-03-04,10.786681175231934,10.795370244642733,10.719264077844883,10.788778233328223,453266800
2011-03-07,10.64765453338623,10.83672103245786,10.526304379145529,10.828630435436175,546123200
2011-03-08,10.659638404846191,10.708778056718748,10.554467852398304,10.634169668203125,356316800
2011-03-09,10.561060905456543,10.629676562691685,10.505030799455776,10.62757870411975,453306000
2011-03-10,10.387276649475098,10.48016250854559,10.334242106750837,10.460685705746515,507539200
2011-03-11,10.54667854309082,10.556566962086885,10.337238324322167,10.347125143120968,471080400
2011-03-14,10.593721389770508,10.68121377744913,10.526305077441506,10.582335185868846,435957200
2011-03-15,10.350120544433594,10.422331033855968,10.190417684323418,10.250343461444778,721081200
2011-03-16,9.888089179992676,10.277309059746374,9.775728157939021,10.24734617387196,1162011200
2011-03-17,10.026823043823242,10.175739022043006,9.907569926396505,10.092441542021938,659422400
2011-03-18,9.907865524291992,10.133486886122462,9.887790254108127,10.101426141172574,753214000
2011-03-21,10.166448593139648,10.179631818462791,10.045397669108278,10.067271565880105,409402000
2011-03-22,10.22337532043457,10.265923754912794,10.161651726951753,10.264125933737658,325922800
2011-03-23,10.163152694702148,10.194014098631733,10.066071928674978,10.165849027047962,372996400
2011-03-24,10.336338996887207,10.367201201379775,10.153265228739473,10.24285467274555,404712000
2011-03-25,10.533198356628418,10.548778680660329,10.397764831788614,10.429226317003156,448910000
2011-03-28,10.500240325927734,10.616497905287437,10.500240325927734,10.5814407692332,309355200
2011-03-29,10.515816688537598,10.515816688537598,10.368998595802708,10.41693890359829,352900800
2011-03-30,10.446001052856445,10.513418951677911,10.410345463823669,10.506226866366548,329406000
2011-03-31,10.44240951538086,10.48106148548572,10.369000455844937,10.377988765107352,274019200
2011-04-01,10.324055671691895,10.534696082738886,10.286302209684878,10.520314306797374,418661600
2011-04-04,10.223081588745117,10.325255813640048,10.139484859330565,10.316566739997043,460084800
2011-04-05,10.15416431427002,10.254839930605533,10.067571234735414,10.097234893157868,482731200
2011-04-06,10.128694534301758,10.30427777099539,10.101728011282955,10.223977475786036,402539200
2011-04-07,10.129894256591797,10.200306135878566,10.068469085047276,10.13049273036238,373447200
2011-04-08,10.039408683776855,10.191920331373653,10.006150173644949,10.185029079743405,377535200
2011-04-11,9.911764144897461,10.057682942932864,9.888393262266993,10.009442592832254,398946800
2011-04-12,9.959705352783203,9.999555868436847,9.893786021480611,9.902475093297799,425639200
2011-04-13,10.071464538574219,10.07176377540853,9.963297623857565,10.038205244549006,346220000
2011-04-14,9.960305213928223,10.067572860580468,9.949519081931632,10.031617220361285,301800800
2011-04-15,9.811683654785156,9.99685523122302,9.791908422395906,9.986667578123313,453605600
2011-04-18,9.943224906921387,9.954611111421311,9.592957701104734,9.770938055162715,609898800
2011-04-19,10.123303413391113,10.126898256922985,9.939030277767708,9.980679416439326,419378400
2011-04-20,10.25963306427002,10.359709396380746,10.232367304390987,10.292592325742431,700666400
2011-04-21,10.508025169372559,10.640761514667004,10.442705925891586,10.636865834948868,753810400
2011-04-25,10.577241897583008,10.599415031789679,10.496041484622788,10.497240832516404,266546000
2011-04-26,10.499632835388184,10.636563254101414,10.46757209747313,10.595514212182525,338800000
2011-04-27,10.491544723510742,10.55746403575504,10.400158277198353,10.554167630088669,356213200
2011-04-28,10.38967227935791,10.479560148973064,10.352817340703371,10.372892612956178,360959200
2011-04-29,10.490945816040039,10.605403896890103,10.387273062021325,10.390569467551384,1006345200
2011-05-02,10.375591278076172,10.501136367074505,10.352220394717085,10.479263268503098,442713600
2011-05-03,10.433116912841797,10.483754345320342,10.355812198141855,10.426824938422683,313348000
